iter	MultiClass
0	1.781614057
1	1.662927657
2	1.56460402
3	1.469714341
4	1.377290638
5	1.298581603
6	1.228755013
7	1.16653006
8	1.10928664
9	1.054932063
10	1.018524632
11	0.9717193873
12	0.9277679967
13	0.893136924
14	0.8618135358
15	0.8318138758
16	0.8126355481
17	0.7848802145
18	0.761743282
19	0.7390928331
20	0.7143177127
21	0.6949574938
22	0.6751082861
23	0.6500039885
24	0.6322909369
25	0.6207575589
26	0.6059580369
27	0.5921430923
28	0.5760835158
29	0.5630817253
30	0.5443489705
31	0.5333313761
32	0.5224490027
33	0.5135533487
34	0.5011555008
35	0.4920857451
36	0.4845048766
37	0.4771373606
38	0.4693793998
39	0.460245368
40	0.4529352447
41	0.446817792
42	0.438268127
43	0.4312846166
44	0.4245622406
45	0.4179353541
46	0.4101158972
47	0.4040694119
48	0.4004025534
49	0.3949249644
50	0.3905225445
51	0.3845283651
52	0.3788198915
53	0.370752475
54	0.365718992
55	0.3617115928
56	0.35634555
57	0.3519494798
58	0.3478780005
59	0.3442464249
60	0.3405814726
61	0.3366427557
62	0.3329722598
63	0.3288949574
64	0.3260193781
65	0.3216692495
66	0.3175148817
67	0.3139498487
68	0.3108060078
69	0.3065748227
70	0.3023070481
71	0.299541239
72	0.2973623177
73	0.2933538949
74	0.2907611906
75	0.2871372597
76	0.2842975432
77	0.2805086666
78	0.278862557
79	0.2760052602
80	0.2719491067
81	0.2695219206
82	0.2672552646
83	0.2656407374
84	0.2638964168
85	0.2628580078
86	0.2577285012
87	0.2564046903
88	0.2538043399
89	0.2494313547
90	0.2468914299
91	0.2431447774
92	0.2404658342
93	0.2351957318
94	0.2327904732
95	0.2312164205
96	0.228785666
97	0.2260946994
98	0.2243355116
99	0.2226695889
100	0.2194571378
101	0.2170158708
102	0.2154774985
103	0.2129940774
104	0.2089462551
105	0.2066246595
106	0.2054003483
107	0.2026674811
108	0.2012760272
109	0.199689277
110	0.1973486764
111	0.1943212882
112	0.1923665105
113	0.1896050273
114	0.1873098911
115	0.1863878587
116	0.1850579733
117	0.1841562732
118	0.1824732114
119	0.1812268733
120	0.1800670243
121	0.1781791221
122	0.1770307535
123	0.1754496798
124	0.1728982024
125	0.171065551
126	0.1700405725
127	0.1691331235
128	0.1673336949
129	0.1656260469
130	0.16351526
131	0.1624949504
132	0.1613960266
133	0.1590284834
134	0.1578218361
135	0.1569566235
136	0.1545127979
137	0.1532276029
138	0.1516315723
139	0.1507372081
140	0.1494598135
141	0.1482043007
142	0.1466933682
143	0.1451736549
144	0.1443083701
145	0.1428211184
146	0.141522514
147	0.1408311829
148	0.1399735944
149	0.1394010865
150	0.1385875566
151	0.1372943962
152	0.1350104064
153	0.1343348972
154	0.133542008
155	0.1322822621
156	0.1305432882
157	0.1284075497
158	0.1277065126
159	0.1273229923
160	0.1268040243
161	0.1253516811
162	0.1238752031
163	0.1232260266
164	0.1228072222
165	0.1216455055
166	0.1210833157
167	0.1203625467
168	0.1199062859
169	0.1183123844
170	0.117851939
171	0.1173232898
172	0.1168441571
173	0.1159943378
174	0.1149269676
175	0.1138519116
176	0.1132918822
177	0.1127622941
178	0.1117935539
179	0.1111262749
180	0.1106575065
181	0.110263739
182	0.1096184797
183	0.1087522291
184	0.1079978766
185	0.1076380653
186	0.1071522538
187	0.1068015052
188	0.1060190497
189	0.1055707374
190	0.1052143489
191	0.1046702802
192	0.1042126651
193	0.1032099028
194	0.1021314323
195	0.1016629983
196	0.1014110339
197	0.1007072795
198	0.1001479383
199	0.09983626612
200	0.09921396926
201	0.09889272043
202	0.09842035244
203	0.09805456583
204	0.09778083454
205	0.09749981652
206	0.09682432352
207	0.0962259009
208	0.09591302624
209	0.09528927433
210	0.09479722893
211	0.09389105637
212	0.09344304386
213	0.09315208953
214	0.09244467389
215	0.0920230288
216	0.09175808157
217	0.0914187083
218	0.09089010986
219	0.09059655976
220	0.09004575791
221	0.08936911551
222	0.08869819388
223	0.08825381146
224	0.08805928075
225	0.08788507337
226	0.0876833859
227	0.08715929893
228	0.08666115368
229	0.08643015212
230	0.08614630667
231	0.08572237959
232	0.08513489418
233	0.08486000941
234	0.08429456593
235	0.08390027666
236	0.08354959992
237	0.08284956871
238	0.08269277778
239	0.08254321791
240	0.08215641968
241	0.08197446418
242	0.08174776048
243	0.0814864994
244	0.08118066831
245	0.08079793425
246	0.08010374223
247	0.07948288301
248	0.07916497946
249	0.07844195855
250	0.07793458484
251	0.07738224596
252	0.07677746073
253	0.07655854281
254	0.07626656786
255	0.07604657109
256	0.07569184786
257	0.07545775849
258	0.07513989421
259	0.07484753029
260	0.07427846979
261	0.07411752965
262	0.07377321394
263	0.0733989827
264	0.07296107631
265	0.07265804781
266	0.07238081633
267	0.07214354816
268	0.07182577299
269	0.07127440887
270	0.07100509692
271	0.07078758164
272	0.07047398431
273	0.07007737792
274	0.06980574981
275	0.06949154017
276	0.06923506022
277	0.06904746958
278	0.06867553783
279	0.06846444128
280	0.06794029026
281	0.06781819418
282	0.06760929453
283	0.06743639265
284	0.06726184777
285	0.06709503222
286	0.0669435345
287	0.06667869892
288	0.06652499369
289	0.06617558911
290	0.06603159213
291	0.06591606581
292	0.06567374642
293	0.06551250359
294	0.06523200858
295	0.06487930823
296	0.06468609627
297	0.06456416109
298	0.06433367977
299	0.06410443876
300	0.06401016305
301	0.06381601244
302	0.06358827113
303	0.06329922902
304	0.06319196332
305	0.06295733817
306	0.0627240634
307	0.06250454272
308	0.06234896657
309	0.06219759806
310	0.06207597797
311	0.06194526529
312	0.06169130583
313	0.06147001064
314	0.0611870084
315	0.06113736037
316	0.0610120669
317	0.06036605801
318	0.0603049484
319	0.06022818526
320	0.06014568044
321	0.05991778381
322	0.05978966324
323	0.05957025033
324	0.05938098343
325	0.05922302413
326	0.05904720272
327	0.05891118453
328	0.05869517474
329	0.05851402261
330	0.05829745899
331	0.05807918837
332	0.05786128642
333	0.05774372861
334	0.05763843906
335	0.05734319672
336	0.05724421969
337	0.05704674028
338	0.05687641162
339	0.05680157127
340	0.0566565059
341	0.05647436763
