iter	Passed	Remaining
0	3	3760
1	6	3210
2	9	3101
3	12	3034
4	14	2984
5	17	2910
6	20	2882
7	22	2850
8	25	2816
9	28	2815
10	31	2819
11	34	2841
12	37	2871
13	41	2887
14	44	2903
15	47	2901
16	50	2932
17	53	2912
18	56	2914
19	59	2907
20	62	2905
21	65	2900
22	67	2883
23	70	2882
24	73	2882
25	76	2877
26	79	2872
27	82	2859
28	85	2851
29	88	2852
30	91	2852
31	94	2850
32	96	2819
33	99	2820
34	102	2813
35	104	2806
36	106	2779
37	109	2783
38	113	2786
39	115	2779
40	118	2773
41	121	2777
42	124	2770
43	127	2771
44	130	2761
45	133	2758
46	135	2744
47	138	2747
48	142	2766
49	145	2757
50	148	2771
51	152	2782
52	156	2799
53	159	2799
54	162	2798
55	166	2799
56	168	2794
57	172	2797
58	174	2790
59	177	2780
60	181	2786
61	183	2779
62	186	2776
63	189	2778
64	192	2774
65	195	2772
66	198	2765
67	200	2751
68	203	2746
69	206	2745
70	209	2742
71	212	2740
72	216	2745
73	218	2739
74	221	2737
75	224	2735
76	227	2726
77	230	2723
78	233	2716
79	235	2710
80	238	2706
81	241	2699
82	244	2697
83	245	2681
84	248	2676
85	251	2671
86	254	2668
87	256	2662
88	259	2659
89	262	2656
90	265	2652
91	268	2649
92	271	2644
93	274	2640
94	276	2637
95	279	2634
96	282	2633
97	285	2630
98	288	2627
99	291	2623
100	294	2622
101	296	2610
102	299	2610
103	302	2606
104	305	2605
105	308	2601
106	311	2597
107	313	2593
108	316	2588
109	319	2588
110	322	2586
111	325	2580
112	328	2575
113	331	2573
114	334	2571
115	336	2567
116	339	2565
117	342	2562
118	345	2558
119	348	2555
120	351	2553
121	354	2550
122	357	2546
123	359	2542
124	362	2538
125	365	2536
126	368	2533
127	371	2528
128	374	2525
129	376	2522
130	379	2518
131	382	2515
132	385	2514
133	390	2520
134	393	2522
135	397	2523
136	400	2522
137	403	2517
138	406	2515
139	409	2512
140	411	2509
141	415	2510
142	418	2509
143	421	2506
144	424	2503
145	427	2498
146	430	2495
147	432	2492
148	435	2488
149	438	2484
150	441	2480
151	443	2476
152	446	2470
153	449	2470
154	452	2468
155	455	2466
156	458	2462
157	461	2460
158	464	2457
159	467	2454
160	470	2450
161	473	2449
162	476	2444
163	478	2439
164	481	2436
165	484	2434
166	487	2431
167	490	2427
168	492	2424
169	495	2419
170	498	2416
171	501	2413
172	504	2412
173	507	2408
174	510	2404
175	513	2402
176	515	2398
177	518	2395
178	521	2392
179	524	2390
180	527	2385
181	530	2384
182	533	2382
183	536	2378
184	539	2375
185	541	2371
186	544	2369
187	547	2365
188	550	2363
189	553	2360
190	556	2356
191	559	2353
192	562	2351
193	565	2348
194	568	2345
195	570	2340
196	573	2336
197	576	2333
198	578	2329
199	581	2326
200	584	2323
201	587	2320
202	590	2316
203	592	2312
204	595	2310
205	598	2308
206	601	2305
207	604	2302
208	606	2296
209	609	2292
210	612	2289
211	615	2287
212	618	2284
213	620	2280
214	624	2278
215	626	2274
216	629	2272
217	632	2269
218	635	2267
219	638	2263
220	641	2261
221	644	2258
222	647	2254
223	649	2251
224	652	2248
225	655	2244
226	658	2242
227	660	2235
228	663	2234
229	666	2232
230	669	2229
231	672	2226
232	675	2224
233	678	2221
234	681	2219
235	684	2217
236	687	2214
237	690	2211
238	693	2209
239	697	2207
240	699	2203
241	702	2200
242	705	2198
243	708	2195
244	711	2193
245	714	2190
246	717	2187
247	720	2184
248	723	2181
249	726	2178
250	728	2175
251	731	2171
252	734	2168
253	737	2166
254	740	2162
255	742	2158
256	745	2156
257	748	2152
258	751	2148
259	753	2145
260	756	2141
261	759	2138
262	761	2135
263	764	2132
264	767	2129
265	769	2123
266	772	2121
267	775	2118
268	778	2116
269	781	2112
270	785	2113
271	788	2111
272	791	2108
273	794	2106
274	797	2103
275	800	2099
276	803	2096
277	806	2094
278	809	2090
279	811	2087
280	815	2085
281	817	2082
282	820	2079
283	823	2076
284	826	2074
285	829	2070
286	832	2066
287	834	2064
288	837	2061
289	840	2058
290	843	2055
291	846	2051
292	848	2048
293	851	2044
294	854	2041
295	857	2039
296	860	2035
297	863	2033
298	866	2030
299	869	2027
300	872	2025
301	875	2022
302	878	2019
303	879	2013
304	882	2011
305	885	2009
306	889	2007
307	891	2003
308	894	2000
309	897	1997
310	900	1994
311	903	1992
312	906	1989
313	908	1985
314	911	1983
315	914	1979
316	917	1976
317	920	1975
318	923	1971
319	926	1969
320	929	1966
321	932	1963
322	935	1960
323	938	1958
324	941	1955
325	944	1953
326	947	1950
327	950	1946
328	952	1943
329	955	1940
330	958	1937
331	961	1934
332	964	1931
333	967	1928
334	969	1925
335	973	1922
336	975	1920
337	978	1917
338	981	1914
339	984	1911
340	987	1908
341	990	1905
342	993	1902
343	996	1899
344	998	1896
345	1001	1893
346	1004	1890
347	1007	1887
348	1010	1884
349	1012	1881
350	1015	1878
351	1018	1875
352	1021	1872
353	1024	1869
354	1027	1866
355	1030	1863
356	1032	1860
357	1036	1857
358	1039	1855
359	1041	1852
360	1044	1849
361	1047	1846
362	1050	1843
363	1053	1840
364	1057	1839
365	1060	1836
366	1063	1834
367	1067	1833
368	1072	1833
369	1075	1831
370	1079	1830
371	1082	1827
372	1085	1825
373	1089	1823
374	1092	1821
375	1095	1818
376	1098	1815
377	1101	1812
378	1104	1809
379	1107	1806
380	1109	1802
381	1112	1799
382	1116	1797
383	1119	1795
384	1122	1793
385	1126	1791
386	1129	1789
387	1132	1786
388	1136	1784
389	1139	1781
390	1142	1778
391	1145	1776
392	1147	1773
393	1150	1769
394	1153	1767
395	1156	1764
396	1159	1761
397	1162	1758
398	1165	1756
399	1168	1753
400	1171	1750
401	1174	1747
402	1178	1745
403	1181	1742
404	1184	1740
405	1187	1737
406	1190	1734
407	1193	1731
408	1195	1728
409	1199	1725
410	1202	1722
411	1205	1719
412	1207	1716
413	1210	1714
414	1213	1711
415	1216	1708
416	1219	1705
417	1222	1701
418	1225	1699
419	1227	1695
420	1230	1692
421	1233	1689
422	1237	1687
423	1239	1684
424	1242	1681
425	1246	1679
426	1249	1676
427	1252	1674
428	1255	1671
429	1258	1668
430	1261	1665
431	1264	1662
432	1268	1661
433	1271	1658
434	1274	1655
435	1277	1652
436	1280	1649
437	1283	1646
438	1286	1643
439	1288	1640
440	1292	1638
441	1295	1635
442	1298	1632
443	1301	1629
444	1303	1626
445	1306	1623
446	1309	1620
447	1312	1617
448	1315	1614
449	1318	1611
450	1321	1608
451	1324	1605
452	1327	1602
453	1330	1599
454	1333	1596
455	1335	1593
456	1338	1590
457	1341	1587
458	1344	1584
459	1346	1580
460	1349	1578
461	1352	1575
462	1355	1572
463	1358	1569
464	1360	1565
465	1363	1563
466	1366	1560
467	1369	1556
468	1372	1553
469	1375	1550
470	1377	1547
471	1380	1544
472	1383	1541
473	1387	1539
474	1389	1536
475	1392	1532
476	1395	1529
477	1398	1527
478	1401	1523
479	1403	1520
480	1406	1517
481	1409	1515
482	1412	1512
483	1415	1509
484	1418	1505
485	1420	1502
486	1423	1499
487	1426	1496
488	1429	1493
489	1432	1490
490	1435	1487
491	1438	1484
492	1440	1481
493	1443	1479
494	1447	1476
495	1450	1473
496	1452	1470
497	1455	1467
498	1458	1464
499	1461	1461
500	1464	1458
501	1467	1455
502	1470	1453
503	1473	1450
504	1476	1447
505	1479	1444
506	1483	1442
507	1486	1439
508	1489	1436
509	1492	1433
510	1495	1430
511	1498	1428
512	1501	1425
513	1504	1422
514	1507	1419
515	1509	1416
516	1512	1413
517	1515	1410
518	1518	1407
519	1521	1404
520	1523	1401
521	1526	1398
522	1529	1394
523	1532	1391
524	1535	1388
525	1537	1385
526	1540	1382
527	1543	1380
528	1546	1377
529	1549	1374
530	1552	1371
531	1555	1368
532	1558	1365
533	1562	1363
534	1565	1360
535	1568	1357
536	1571	1354
537	1574	1351
538	1577	1349
539	1580	1346
540	1583	1343
541	1586	1340
542	1588	1337
543	1591	1334
544	1594	1331
545	1597	1328
546	1600	1325
547	1603	1322
548	1606	1319
549	1609	1316
550	1612	1314
551	1616	1311
552	1619	1309
553	1622	1306
554	1625	1303
555	1628	1300
556	1630	1297
557	1633	1294
558	1636	1291
559	1639	1288
560	1642	1285
561	1645	1282
562	1648	1279
563	1651	1276
564	1654	1273
565	1657	1270
566	1659	1267
567	1662	1264
568	1665	1261
569	1668	1258
570	1671	1255
571	1674	1252
572	1676	1249
573	1679	1246
574	1682	1243
575	1685	1240
576	1688	1237
577	1691	1235
578	1694	1232
579	1697	1228
580	1700	1226
581	1703	1223
582	1706	1220
583	1709	1217
584	1711	1214
585	1714	1211
586	1717	1208
587	1720	1205
588	1723	1202
589	1725	1199
590	1728	1196
591	1731	1193
592	1734	1190
593	1737	1187
594	1740	1184
595	1742	1181
596	1745	1178
597	1748	1175
598	1751	1172
599	1754	1169
600	1756	1166
601	1759	1163
602	1762	1160
603	1765	1157
604	1767	1154
605	1770	1151
606	1773	1148
607	1776	1145
608	1779	1142
609	1782	1139
610	1785	1136
611	1787	1133
612	1790	1130
613	1793	1127
614	1796	1124
615	1799	1121
616	1801	1118
617	1804	1115
618	1807	1112
619	1809	1109
620	1812	1106
621	1815	1103
622	1818	1100
623	1821	1097
624	1824	1094
625	1827	1091
626	1830	1088
627	1832	1085
628	1835	1082
629	1838	1079
630	1840	1076
631	1843	1073
632	1847	1070
633	1849	1067
634	1852	1064
635	1855	1061
636	1858	1059
637	1861	1056
638	1863	1052
639	1866	1050
640	1869	1047
641	1872	1044
642	1875	1041
643	1878	1038
644	1881	1035
645	1884	1032
646	1887	1030
647	1890	1027
648	1893	1024
649	1896	1021
650	1899	1018
651	1902	1015
652	1904	1012
653	1907	1009
654	1910	1006
655	1912	1003
656	1915	1000
657	1918	997
658	1921	994
659	1924	991
660	1927	988
661	1930	985
662	1933	982
663	1936	979
664	1939	976
665	1941	973
666	1944	971
667	1948	968
668	1951	965
669	1955	963
670	1958	960
671	1961	957
672	1964	954
673	1967	951
674	1970	948
675	1972	945
676	1976	942
677	1979	939
678	1981	936
679	1984	934
680	1987	931
681	1990	928
682	1993	925
683	1996	922
684	1999	919
685	2002	916
686	2005	913
687	2008	910
688	2011	907
689	2014	905
690	2017	902
691	2019	899
692	2022	896
693	2025	893
694	2028	890
695	2031	887
696	2034	884
697	2037	881
698	2039	878
699	2042	875
700	2045	872
701	2047	869
702	2050	866
703	2053	863
704	2056	860
705	2059	857
706	2061	854
707	2064	851
708	2068	848
709	2071	845
710	2074	843
711	2076	840
712	2079	837
713	2082	834
714	2084	831
715	2087	828
716	2093	826
717	2096	823
718	2100	820
719	2105	818
720	2108	815
721	2112	813
722	2116	810
723	2119	808
724	2122	805
725	2125	802
726	2128	799
727	2131	796
728	2134	793
729	2137	790
730	2140	787
731	2143	784
732	2146	781
733	2149	778
734	2151	775
735	2154	772
736	2157	770
737	2161	767
738	2163	764
739	2166	761
740	2169	758
741	2172	755
742	2176	752
743	2179	749
744	2182	747
745	2185	744
746	2188	741
747	2192	738
748	2195	735
749	2197	732
750	2200	729
751	2204	726
752	2206	723
753	2209	721
754	2212	718
755	2215	715
756	2218	712
757	2221	709
758	2224	706
759	2227	703
760	2229	700
761	2232	697
762	2235	694
763	2238	691
764	2241	688
765	2244	685
766	2247	682
767	2250	679
768	2253	676
769	2255	673
770	2258	670
771	2261	667
772	2264	664
773	2267	662
774	2271	659
775	2275	656
776	2279	654
777	2282	651
778	2285	648
779	2288	645
780	2291	642
781	2293	639
782	2296	636
783	2299	633
784	2302	630
785	2305	627
786	2308	624
787	2311	621
788	2314	618
789	2317	615
790	2319	612
791	2322	609
792	2325	606
793	2328	604
794	2331	601
795	2334	598
796	2338	595
797	2341	592
798	2345	590
799	2348	587
800	2354	585
801	2359	582
802	2363	579
803	2366	576
804	2369	574
805	2373	571
806	2376	568
807	2380	565
808	2383	562
809	2386	559
810	2389	556
811	2393	554
812	2396	551
813	2400	548
814	2405	546
815	2409	543
816	2413	540
817	2417	537
818	2420	534
819	2423	532
820	2426	529
821	2429	526
822	2432	523
823	2435	520
824	2438	517
825	2441	514
826	2444	511
827	2446	508
828	2450	505
829	2453	502
830	2456	499
831	2459	496
832	2462	493
833	2466	490
834	2468	487
835	2471	484
836	2474	481
837	2477	478
838	2480	475
839	2483	472
840	2486	470
841	2489	467
842	2492	464
843	2495	461
844	2497	458
845	2500	455
846	2503	452
847	2506	449
848	2509	446
849	2512	443
850	2515	440
851	2518	437
852	2520	434
853	2523	431
854	2526	428
855	2529	425
856	2532	422
857	2535	419
858	2538	416
859	2541	413
860	2544	410
861	2547	407
862	2550	404
863	2553	401
864	2555	398
865	2558	395
866	2561	392
867	2564	389
868	2567	386
869	2569	383
870	2572	381
871	2575	378
872	2578	375
873	2581	372
874	2584	369
875	2587	366
876	2590	363
877	2593	360
878	2596	357
879	2598	354
880	2601	351
881	2604	348
882	2607	345
883	2609	342
884	2613	339
885	2615	336
886	2618	333
887	2621	330
888	2624	327
889	2627	324
